# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 306  of event 'cpu-clock:u'
# Event count (approx.): 306920754
#
# Children      Self  Command     Shared Object        Symbol
# ........  ........  ..........  ...................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.63%     1.63%  stage4_gcd  stage4_gcd           [.] std::vector<stage4::model::instrumentation::EventRecorder::TraceRow, std::allocator<stage4::model::instrumentation::EventRecorder::TraceRow> >::_M_realloc_insert<stage4::model::instrumentation::EventRecorder::TraceRow>
     1.63%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Collector::advance
     1.31%     1.31%  stage4_gcd  libc.so.6            [.] cfree@GLIBC_2.2.5
     1.31%     1.31%  stage4_gcd  libstdc++.so.6.0.30  [.] std::locale::locale
     1.31%     1.31%  stage4_gcd  libstdc++.so.6.0.30  [.] 0x00000000000a21f0
     1.31%     1.31%  stage4_gcd  libstdc++.so.6.0.30  [.] 0x000000000012e933
     1.31%     0.00%  stage4_gcd  libstdc++.so.6.0.30  [.] 0x000079acc46a21f0
     1.31%     0.00%  stage4_gcd  libstdc++.so.6.0.30  [.] 0x000079acc472e933
     1.31%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Collector::retire
     1.31%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Dispatcher::advance


#
# (Cannot load tips.txt file, please install perf!)
#
