metric,value
cycles,3058
tasks,64
simulated_time_ns,3058
throughput_tasks_per_cycle,0.0209287115762
compute_busy_cycles,2989
compute_utilization,0.977436232832
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.919228253761
parser_to_transform_peak,1
transform_to_compute_capacity,1
transform_to_compute_average,0.964028776978
transform_to_compute_peak,1
compute_to_output_capacity,1
compute_to_output_average,0.0209287115762
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.9234793983
transform_registers_peak,2
