metric,value
cycles,1534
tasks,64
simulated_time_ns,1534
throughput_tasks_per_cycle,0.0417209908735
compute_busy_cycles,2943
compute_utilization,0.95925684485
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.80769230769
parser_to_transform_peak,2
compute0_results_capacity,6
compute0_results_average,0.0208604954368
compute0_results_peak,1
compute1_results_capacity,6
compute1_results_average,0.0280312907432
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0417209908735
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.90808344198
transform_registers_peak,2
handshake_valid_cycles,1484
handshake_blocked_cycles,1420
handshake_blocked_fraction,0.956873315364
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,16
buffer_payload_bits,1856
dispatch_idle_other_blocked_cycles,10
reorder_wait_cycles,10
collector_output_blocked_cycles,0
compute0_busy_cycles,1458
compute0_utilization,0.950456323338
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1485
compute1_utilization,0.968057366362
compute1_tasks,32
compute1_result_wait_cycles,0
