metric,value
cycles,1571
tasks,64
simulated_time_ns,1571
throughput_tasks_per_cycle,0.0407383831954
compute_busy_cycles,2989
compute_utilization,0.951304901337
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.898154042011
parser_to_transform_peak,1
compute0_results_capacity,2
compute0_results_average,0.0203691915977
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0782940802037
compute1_results_peak,1
collector_to_output_capacity,1
collector_to_output_average,0.0407383831954
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.92106938256
transform_registers_peak,2
handshake_valid_cycles,1517
handshake_blocked_cycles,1453
handshake_blocked_fraction,0.957811470007
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,6
buffer_payload_bits,864
dispatch_idle_other_blocked_cycles,54
reorder_wait_cycles,57
collector_output_blocked_cycles,17
compute0_busy_cycles,1532
compute0_utilization,0.97517504774
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1457
compute1_utilization,0.927434754933
compute1_tasks,32
compute1_result_wait_cycles,0
