metric,value
cycles,369
tasks,48
simulated_time_ns,369
throughput_tasks_per_cycle,0.130081300813
compute_busy_cycles,632
compute_utilization,0.856368563686
compute_result_wait_cycles,0
output_period,3
parser_to_transform_capacity,2
parser_to_transform_average,1.69376693767
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0650406504065
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0650406504065
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.60162601626
collector_to_output_peak,2
transform_registers_capacity,2
transform_registers_average,1.83468834688
transform_registers_peak,2
handshake_valid_cycles,339
handshake_blocked_cycles,291
handshake_blocked_fraction,0.858407079646
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,4160
window_blocked_cycles,0
engines_blocked_cycles,291
random_choices,1
random_seed,1
reorder_wait_cycles,234
collector_output_blocked_cycles,75
compute0_busy_cycles,316
compute0_utilization,0.856368563686
compute0_tasks,24
compute0_result_wait_cycles,0
compute1_busy_cycles,316
compute1_utilization,0.856368563686
compute1_tasks,24
compute1_result_wait_cycles,0
window_capacity,32
window_results_peak,9
window_results_average,5.14363143631
window_reserved_peak,11
window_reserved_average,6.9864498645
window_valid_bits,32
