metric,value
cycles,64
tasks,8
simulated_time_ns,64
throughput_tasks_per_cycle,0.125
compute_busy_cycles,66
compute_utilization,0.515625
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0.84375
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.046875
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.078125
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.125
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.328125
transform_registers_peak,2
handshake_valid_cycles,45
handshake_blocked_cycles,37
handshake_blocked_fraction,0.822222222222
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1280
window_blocked_cycles,37
engines_blocked_cycles,0
random_choices,4
random_seed,1
reorder_wait_cycles,12
collector_output_blocked_cycles,0
compute0_busy_cycles,20
compute0_utilization,0.3125
compute0_tasks,3
compute0_result_wait_cycles,0
compute1_busy_cycles,46
compute1_utilization,0.71875
compute1_tasks,5
compute1_result_wait_cycles,0
window_capacity,2
window_results_peak,2
window_results_average,0.34375
window_reserved_peak,2
window_reserved_average,1.5
window_valid_bits,2
