metric,value
cycles,1525
tasks,64
simulated_time_ns,1525
throughput_tasks_per_cycle,0.0419672131148
compute_busy_cycles,2942
compute_utilization,0.964590163934
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.891147540984
parser_to_transform_peak,1
compute0_results_capacity,2
compute0_results_average,0.0209836065574
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0459016393443
compute1_results_peak,1
collector_to_output_capacity,1
collector_to_output_average,0.0419672131148
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.91737704918
transform_registers_peak,2
handshake_valid_cycles,1466
handshake_blocked_cycles,1402
handshake_blocked_fraction,0.956343792633
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,6
buffer_payload_bits,864
dispatch_idle_other_blocked_cycles,17
reorder_wait_cycles,20
collector_output_blocked_cycles,9
compute0_busy_cycles,1486
compute0_utilization,0.974426229508
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1456
compute1_utilization,0.954754098361
compute1_tasks,32
compute1_result_wait_cycles,0
