metric,value
cycles,1517
tasks,64
simulated_time_ns,1517
throughput_tasks_per_cycle,0.0421885299934
compute_busy_cycles,2928
compute_utilization,0.965062623599
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,4
parser_to_transform_average,3.63414634146
parser_to_transform_peak,4
compute0_results_capacity,2
compute0_results_average,0.0210942649967
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0355965721819
compute1_results_peak,1
collector_to_output_capacity,4
collector_to_output_average,0.0421885299934
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.92551087673
transform_registers_peak,2
handshake_valid_cycles,1466
handshake_blocked_cycles,1402
handshake_blocked_fraction,0.956343792633
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,12
buffer_payload_bits,1536
dispatch_idle_other_blocked_cycles,16
reorder_wait_cycles,16
collector_output_blocked_cycles,0
compute0_busy_cycles,1471
compute0_utilization,0.969676994067
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1457
compute1_utilization,0.960448253131
compute1_tasks,32
compute1_result_wait_cycles,0
