id,event,cycle,a,b,value,latency
17,compute_emit,91,0,0,17,0
18,compute_unit,91,1,0,0,0
18,compute_accept,91,18,18,18,1
11,reorder_emit,91,0,0,11,0
16,window_store,91,1,0,16,0
10,output,91,0,0,10,0
22,parser_send,92,0,0,0,0
19,link,92,19,19,1,0
19,transform_emit,92,19,19,0,0
21,transform_accept,92,0,0,0,0
19,compute_unit,92,0,0,0,0
19,compute_accept,92,19,19,19,1
18,compute_complete,92,0,0,18,0
18,compute_emit,92,0,0,18,0
12,reorder_emit,92,0,0,12,0
17,window_store,92,0,0,17,0
11,output,92,0,0,11,0
23,parser_send,93,0,0,0,0
20,link,93,20,20,1,0
20,transform_emit,93,20,20,0,0
22,transform_accept,93,0,0,0,0
19,compute_complete,93,0,0,19,0
19,compute_emit,93,0,0,19,0
20,compute_unit,93,1,0,0,0
20,compute_accept,93,20,20,20,1
13,reorder_emit,93,0,0,13,0
18,window_store,93,1,0,18,0
12,output,93,0,0,12,0
24,parser_send,94,0,0,0,0
21,link,94,21,21,1,0
21,transform_emit,94,21,21,0,0
23,transform_accept,94,0,0,0,0
21,compute_unit,94,0,0,0,0
21,compute_accept,94,21,21,21,1
20,compute_complete,94,0,0,20,0
20,compute_emit,94,0,0,20,0
14,reorder_emit,94,0,0,14,0
19,window_store,94,0,0,19,0
13,output,94,0,0,13,0
25,parser_send,95,0,0,0,0
22,link,95,22,22,1,0
22,transform_emit,95,22,22,0,0
24,transform_accept,95,0,0,0,0
21,compute_complete,95,0,0,21,0
21,compute_emit,95,0,0,21,0
22,compute_unit,95,1,0,0,0
22,compute_accept,95,22,22,22,1
15,reorder_emit,95,0,0,15,0
20,window_store,95,1,0,20,0
14,output,95,0,0,14,0
26,parser_send,96,0,0,0,0
23,link,96,23,23,1,0
23,transform_emit,96,23,23,0,0
25,transform_accept,96,0,0,0,0
23,compute_unit,96,0,0,0,0
23,compute_accept,96,23,23,23,1
22,compute_complete,96,0,0,22,0
22,compute_emit,96,0,0,22,0
16,reorder_emit,96,0,0,16,0
21,window_store,96,0,0,21,0
15,output,96,0,0,15,0
27,parser_send,97,0,0,0,0
24,link,97,24,24,1,0
24,transform_emit,97,24,24,0,0
26,transform_accept,97,0,0,0,0
23,compute_complete,97,0,0,23,0
23,compute_emit,97,0,0,23,0
24,compute_unit,97,1,0,0,0
24,compute_accept,97,24,24,24,1
17,reorder_emit,97,0,0,17,0
22,window_store,97,1,0,22,0
16,output,97,0,0,16,0
28,parser_send,98,0,0,0,0
25,link,98,25,25,1,0
25,transform_emit,98,25,25,0,0
27,transform_accept,98,0,0,0,0
25,compute_unit,98,0,0,0,0
25,compute_accept,98,25,25,25,1
24,compute_complete,98,0,0,24,0
24,compute_emit,98,0,0,24,0
18,reorder_emit,98,0,0,18,0
23,window_store,98,0,0,23,0
17,output,98,0,0,17,0
29,parser_send,99,0,0,0,0
26,link,99,26,26,1,0
26,transform_emit,99,26,26,0,0
28,transform_accept,99,0,0,0,0
25,compute_complete,99,0,0,25,0
25,compute_emit,99,0,0,25,0
26,compute_unit,99,1,0,0,0
26,compute_accept,99,26,26,26,1
19,reorder_emit,99,0,0,19,0
24,window_store,99,1,0,24,0
18,output,99,0,0,18,0
30,parser_send,100,0,0,0,0
27,link,100,27,27,1,0
27,transform_emit,100,27,27,0,0
29,transform_accept,100,0,0,0,0
27,compute_unit,100,0,0,0,0
27,compute_accept,100,27,27,27,1
26,compute_complete,100,0,0,26,0
26,compute_emit,100,0,0,26,0
20,reorder_emit,100,0,0,20,0
25,window_store,100,0,0,25,0
19,output,100,0,0,19,0
31,parser_send,101,0,0,0,0
28,link,101,28,28,1,0
28,transform_emit,101,28,28,0,0
30,transform_accept,101,0,0,0,0
27,compute_complete,101,0,0,27,0
27,compute_emit,101,0,0,27,0
28,compute_unit,101,1,0,0,0
28,compute_accept,101,28,28,28,1
21,reorder_emit,101,0,0,21,0
26,window_store,101,1,0,26,0
20,output,101,0,0,20,0
32,parser_send,102,0,0,0,0
29,link,102,29,29,1,0
29,transform_emit,102,29,29,0,0
31,transform_accept,102,0,0,0,0
29,compute_unit,102,0,0,0,0
29,compute_accept,102,29,29,29,1
28,compute_complete,102,0,0,28,0
28,compute_emit,102,0,0,28,0
22,reorder_emit,102,0,0,22,0
27,window_store,102,0,0,27,0
21,output,102,0,0,21,0
33,parser_send,103,0,0,0,0
30,link,103,30,30,1,0
30,transform_emit,103,30,30,0,0
32,transform_accept,103,0,0,0,0
29,compute_complete,103,0,0,29,0
29,compute_emit,103,0,0,29,0
30,compute_unit,103,1,0,0,0
30,compute_accept,103,30,30,30,1
23,reorder_emit,103,0,0,23,0
28,window_store,103,1,0,28,0
22,output,103,0,0,22,0
34,parser_send,104,0,0,0,0
31,link,104,31,31,1,0
31,transform_emit,104,31,31,0,0
33,transform_accept,104,0,0,0,0
31,compute_unit,104,0,0,0,0
31,compute_accept,104,31,31,31,1
30,compute_complete,104,0,0,30,0
30,compute_emit,104,0,0,30,0
24,reorder_emit,104,0,0,24,0
29,window_store,104,0,0,29,0
23,output,104,0,0,23,0
35,parser_send,105,0,0,0,0
32,link,105,32,32,1,0
32,transform_emit,105,32,32,0,0
34,transform_accept,105,0,0,0,0
31,compute_complete,105,0,0,31,0
31,compute_emit,105,0,0,31,0
32,compute_unit,105,1,0,0,0
32,compute_accept,105,32,32,32,1
25,reorder_emit,105,0,0,25,0
30,window_store,105,1,0,30,0
24,output,105,0,0,24,0
36,parser_send,106,0,0,0,0
33,link,106,33,33,1,0
33,transform_emit,106,33,33,0,0
35,transform_accept,106,0,0,0,0
33,compute_unit,106,0,0,0,0
33,compute_accept,106,33,33,33,1
32,compute_complete,106,0,0,32,0
32,compute_emit,106,0,0,32,0
26,reorder_emit,106,0,0,26,0
31,window_store,106,0,0,31,0
25,output,106,0,0,25,0
37,parser_send,107,0,0,0,0
34,link,107,34,34,1,0
34,transform_emit,107,34,34,0,0
36,transform_accept,107,0,0,0,0
33,compute_complete,107,0,0,33,0
33,compute_emit,107,0,0,33,0
34,compute_unit,107,1,0,0,0
34,compute_accept,107,34,34,34,1
27,reorder_emit,107,0,0,27,0
32,window_store,107,1,0,32,0
26,output,107,0,0,26,0
38,parser_send,108,0,0,0,0
35,link,108,35,35,1,0
35,transform_emit,108,35,35,0,0
37,transform_accept,108,0,0,0,0
35,compute_unit,108,0,0,0,0
35,compute_accept,108,35,35,35,1
34,compute_complete,108,0,0,34,0
34,compute_emit,108,0,0,34,0
28,reorder_emit,108,0,0,28,0
33,window_store,108,0,0,33,0
27,output,108,0,0,27,0
39,parser_send,109,0,0,0,0
36,link,109,36,36,1,0
36,transform_emit,109,36,36,0,0
38,transform_accept,109,0,0,0,0
35,compute_complete,109,0,0,35,0
35,compute_emit,109,0,0,35,0
36,compute_unit,109,1,0,0,0
36,compute_accept,109,36,36,36,1
29,reorder_emit,109,0,0,29,0
34,window_store,109,1,0,34,0
28,output,109,0,0,28,0
40,parser_send,110,0,0,0,0
37,link,110,37,37,1,0
37,transform_emit,110,37,37,0,0
39,transform_accept,110,0,0,0,0
37,compute_unit,110,0,0,0,0
37,compute_accept,110,37,37,37,1
36,compute_complete,110,0,0,36,0
36,compute_emit,110,0,0,36,0
30,reorder_emit,110,0,0,30,0
35,window_store,110,0,0,35,0
29,output,110,0,0,29,0
38,link,111,38,38,1,0
38,transform_emit,111,38,38,0,0
40,transform_accept,111,0,0,0,0
37,compute_complete,111,0,0,37,0
37,compute_emit,111,0,0,37,0
38,compute_unit,111,1,0,0,0
38,compute_accept,111,38,38,38,1
31,reorder_emit,111,0,0,31,0
36,window_store,111,1,0,36,0
30,output,111,0,0,30,0
39,link,112,39,39,1,0
39,transform_emit,112,39,39,0,0
39,compute_unit,112,0,0,0,0
39,compute_accept,112,39,39,39,1
38,compute_complete,112,0,0,38,0
38,compute_emit,112,0,0,38,0
32,reorder_emit,112,0,0,32,0
37,window_store,112,0,0,37,0
31,output,112,0,0,31,0
40,link,113,40,40,1,0
40,transform_emit,113,40,40,0,0
39,compute_complete,113,0,0,39,0
39,compute_emit,113,0,0,39,0
40,compute_unit,113,1,0,0,0
40,compute_accept,113,40,40,40,1
33,reorder_emit,113,0,0,33,0
38,window_store,113,1,0,38,0
32,output,113,0,0,32,0
40,compute_complete,114,0,0,40,0
40,compute_emit,114,0,0,40,0
34,reorder_emit,114,0,0,34,0
39,window_store,114,0,0,39,0
33,output,114,0,0,33,0
35,reorder_emit,115,0,0,35,0
40,window_store,115,1,0,40,0
34,output,115,0,0,34,0
36,reorder_emit,116,0,0,36,0
35,output,116,0,0,35,0
37,reorder_emit,117,0,0,37,0
36,output,117,0,0,36,0
38,reorder_emit,118,0,0,38,0
37,output,118,0,0,37,0
39,reorder_emit,119,0,0,39,0
38,output,119,0,0,38,0
40,reorder_emit,120,0,0,40,0
39,output,120,0,0,39,0
40,output,121,0,0,40,0
