metric,value
cycles,1511
tasks,64
simulated_time_ns,1511
throughput_tasks_per_cycle,0.0423560555923
compute_busy_cycles,2942
compute_utilization,0.973527465255
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.82395764394
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0211780277962
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0211780277962
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0423560555923
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.92587690271
transform_registers_peak,2
handshake_valid_cycles,1456
handshake_blocked_cycles,1392
handshake_blocked_fraction,0.956043956044
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1856
window_blocked_cycles,0
engines_blocked_cycles,1392
random_choices,1
random_seed,1
reorder_wait_cycles,15
collector_output_blocked_cycles,0
compute0_busy_cycles,1471
compute0_utilization,0.973527465255
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1471
compute1_utilization,0.973527465255
compute1_tasks,32
compute1_result_wait_cycles,0
window_capacity,8
window_results_peak,2
window_results_average,0.0549305095963
window_reserved_peak,4
window_reserved_average,2.0443414957
window_valid_bits,8
