metric,value
cycles,193
tasks,43
simulated_time_ns,193
throughput_tasks_per_cycle,0.222797927461
compute_busy_cycles,258
compute_utilization,0.668393782383
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.03626943005
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.134715025907
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0880829015544
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.222797927461
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.27979274611
transform_registers_peak,2
handshake_valid_cycles,124
handshake_blocked_cycles,81
handshake_blocked_fraction,0.653225806452
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,4160
window_blocked_cycles,0
engines_blocked_cycles,81
random_choices,1
random_seed,1
reorder_wait_cycles,142
collector_output_blocked_cycles,0
compute0_busy_cycles,98
compute0_utilization,0.507772020725
compute0_tasks,26
compute0_result_wait_cycles,0
compute1_busy_cycles,160
compute1_utilization,0.829015544041
compute1_tasks,17
compute1_result_wait_cycles,0
window_capacity,32
window_results_peak,11
window_results_average,7.9689119171
window_reserved_peak,13
window_reserved_average,9.52849740933
window_valid_bits,32
