result_depth,cycles,throughput,result_wait_cycles,busy0,busy1,utilization0,utilization1
1,238115,0.0419965142893,0,233045,233034,0.978707767255,0.97866157109
2,238115,0.0419965142893,0,233045,233034,0.978707767255,0.97866157109
4,238115,0.0419965142893,0,233045,233034,0.978707767255,0.97866157109
8,238115,0.0419965142893,0,233045,233034,0.978707767255,0.97866157109
