case,tasks,t_single,t_dual,t_window,speedup_dual,efficiency_dual,speedup_window,efficiency_window,tasks0,tasks1,busy0,busy1,utilization0,utilization1,imbalance
empty,0,1,1,1,1.0,0.5,1.0,0.5,0,0,0,0,0.0,0.0,
single,1,11,12,13,0.9166666666666666,0.4583333333333333,0.8461538461538461,0.4230769230769231,0,1,0,6,0.0,0.461538461538,1.0
zero_delay,30000,30004,30005,30006,0.9999666722212964,0.4999833361106482,0.9999333466640006,0.4999666733320003,15158,14842,0,0,0.0,0.0,
short,10000,70004,35006,35007,1.999771467748386,0.999885733874193,1.9997143428457165,0.9998571714228582,5000,5000,30000,30000,0.85697146285,0.85697146285,0.0
long,10000,750004,375006,375007,1.9999786670079946,0.9999893335039973,1.9999733338311019,0.9999866669155509,5000,5000,370000,370000,0.986648249233,0.986648249233,0.0
mixed,10000,476083,239530,238115,1.987571494176095,0.9937857470880475,1.999382651239947,0.9996913256199735,5002,4998,233045,233034,0.978707767255,0.97866157109,2.3601149161408258e-05
skew,10500,47504,47006,45011,1.0105943922052505,0.5052971961026252,1.0553864610872898,0.5276932305436449,5239,5261,19018,17982,0.422518939815,0.399502343871,0.028
