depth,cycles,tasks,throughput,blocked_cycles,blocked_over_valid,blocked_over_total,result_wait_cycles,e2e_p95,blocked_segments,blocked_segment_max
1,476083,10000,0.02100474077,466034,0.978993097132,0.9788923360002353,0,202.0,9999,59
2,476083,10000,0.02100474077,466035,0.978993141261,0.9788944364743123,0,251.0,9999,59
4,476083,10000,0.02100474077,466035,0.978993141261,0.9788944364743123,0,349.0,9999,59
8,476083,10000,0.02100474077,466035,0.978993141261,0.9788944364743123,0,545.0,9999,59
16,476083,10000,0.02100474077,466035,0.978993141261,0.9788944364743123,0,933.0,9999,59
32,476083,10000,0.02100474077,466035,0.978993141261,0.9788944364743123,0,1705.0,9999,59
