case,tasks,cycles,throughput,busy_cycles,utilization,idle_no_input_cycles,result_wait_cycles,e2e_mean,e2e_p95,e2e_max
empty,0,1,0.0,0,0.0,1,0,0.0,0.0,0.0
single,1,12,0.0833333333333,6,0.5,5,0,11.0,11.0,11.0
zero_delay,30000,30005,0.999833361106,0,0.0,5,0,5.0,5.0,5.0
short,10000,70005,0.142846939504,60000,0.857081637026,5,0,46.9874,47.0,47.0
long,10000,750005,0.013333244445,740000,0.986660088933,5,0,522.8446,523.0,523.0
mixed,10000,476084,0.0210046966502,466079,0.978984801002,5,0,331.1624,348.0,368.0
