case,tasks,output_period,single_cycles,dual_cycles,speedup,speedup_per_compute,single_utilization,dual_utilization,single_fifo_slots,dual_fifo_slots,single_buffer_payload_bits,dual_buffer_payload_bits
basic,8,1,78,57,1.368421052631579,0.6842105263157895,0.846153846154,0.578947368421,4.0,8.0,704.0,1088.0
fibonacci,17,1,1053,560,1.8803571428571428,0.9401785714285714,0.980056980057,0.921428571429,4.0,8.0,704.0,1088.0
random,64,1,3063,1561,1.9622037155669443,0.9811018577834721,0.977799542932,0.95932094811,4.0,8.0,704.0,1088.0
mixed,43,1,305,264,1.1553030303030303,0.5776515151515151,0.845901639344,0.488636363636,4.0,8.0,704.0,1088.0
capacity_pressure,48,3,705,648,1.087962962962963,0.5439814814814815,0.896453900709,0.487654320988,4.0,8.0,704.0,1088.0
round_robin_skew,24,1,928,906,1.0242825607064017,0.5121412803532008,0.969827586207,0.496688741722,4.0,8.0,704.0,1088.0
