metric,value
cycles,375
tasks,48
simulated_time_ns,375
throughput_tasks_per_cycle,0.128
compute_busy_cycles,632
compute_utilization,0.842666666667
compute_result_wait_cycles,0
output_period,3
parser_to_transform_capacity,2
parser_to_transform_average,1.688
parser_to_transform_peak,2
compute0_results_capacity,4
compute0_results_average,0.064
compute0_results_peak,1
compute1_results_capacity,4
compute1_results_average,0.064
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.592
collector_to_output_peak,2
transform_registers_capacity,2
transform_registers_average,1.82933333333
transform_registers_peak,2
handshake_valid_cycles,344
handshake_blocked_cycles,296
handshake_blocked_fraction,0.860465116279
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,12
buffer_payload_bits,2240
window_blocked_cycles,52
engines_blocked_cycles,244
random_choices,1
random_seed,1
reorder_wait_cycles,249
collector_output_blocked_cycles,66
compute0_busy_cycles,316
compute0_utilization,0.842666666667
compute0_tasks,24
compute0_result_wait_cycles,0
compute1_busy_cycles,316
compute1_utilization,0.842666666667
compute1_tasks,24
compute1_result_wait_cycles,0
window_capacity,8
window_results_peak,7
window_results_average,4.90133333333
window_reserved_peak,8
window_reserved_average,6.71466666667
window_valid_bits,8
