metric,value
cycles,1627
tasks,64
simulated_time_ns,1627
throughput_tasks_per_cycle,0.039336201598
compute_busy_cycles,2995
compute_utilization,0.920405654579
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.83405039951
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0221266133989
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.020282728949
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.039336201598
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.9360786724
transform_registers_peak,2
handshake_valid_cycles,1575
handshake_blocked_cycles,1511
handshake_blocked_fraction,0.959365079365
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1280
window_blocked_cycles,1511
engines_blocked_cycles,0
random_choices,20
random_seed,1
reorder_wait_cycles,41
collector_output_blocked_cycles,0
compute0_busy_cycles,1505
compute0_utilization,0.925015365704
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1490
compute1_utilization,0.915795943454
compute1_tasks,32
compute1_result_wait_cycles,0
window_capacity,2
window_results_peak,2
window_results_average,0.0712968653964
window_reserved_peak,2
window_reserved_average,1.9545175169
window_valid_bits,2
