metric,value
cycles,48
tasks,40
simulated_time_ns,48
throughput_tasks_per_cycle,0.833333333333
compute_busy_cycles,0
compute_utilization,0
compute_result_wait_cycles,38
output_period,1
parser_to_transform_capacity,4
parser_to_transform_average,0.833333333333
parser_to_transform_peak,1
compute0_results_capacity,1
compute0_results_average,0.416666666667
compute0_results_peak,1
compute1_results_capacity,1
compute1_results_average,0.4375
compute1_results_peak,1
collector_to_output_capacity,4
collector_to_output_average,0.833333333333
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.66666666667
transform_registers_peak,2
handshake_valid_cycles,40
handshake_blocked_cycles,0
handshake_blocked_fraction,0
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,10
buffer_payload_bits,2112
window_blocked_cycles,0
engines_blocked_cycles,0
random_choices,3
random_seed,1
reorder_wait_cycles,1
collector_output_blocked_cycles,0
compute0_busy_cycles,0
compute0_utilization,0
compute0_tasks,20
compute0_result_wait_cycles,18
compute1_busy_cycles,0
compute1_utilization,0
compute1_tasks,20
compute1_result_wait_cycles,20
window_capacity,8
window_results_peak,2
window_results_average,1.64583333333
window_reserved_peak,4
window_reserved_average,3.29166666667
window_valid_bits,8
