metric,value
cycles,241
tasks,41
simulated_time_ns,241
throughput_tasks_per_cycle,0.170124481328
compute_busy_cycles,114
compute_utilization,0.236514522822
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.70954356846
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0746887966805
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0954356846473
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.170124481328
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.92946058091
transform_registers_peak,2
handshake_valid_cycles,234
handshake_blocked_cycles,193
handshake_blocked_fraction,0.824786324786
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1184
window_blocked_cycles,193
engines_blocked_cycles,0
random_choices,41
random_seed,1
reorder_wait_cycles,0
collector_output_blocked_cycles,0
compute0_busy_cycles,18
compute0_utilization,0.0746887966805
compute0_tasks,18
compute0_result_wait_cycles,0
compute1_busy_cycles,96
compute1_utilization,0.398340248963
compute1_tasks,23
compute1_result_wait_cycles,0
window_capacity,1
window_results_peak,1
window_results_average,0.170124481328
window_reserved_peak,1
window_reserved_average,0.813278008299
window_valid_bits,1
